LoanDuration,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Risk
32,appliances,8032,21951,1_to_4,3,none,3,unknown,41,none,own,542,skilled,No Risk
20,car_used,6201,31019,4_to_7,4,guarantor,4,unknown,40,stores,own,313,unskilled,No Risk
28,car_used,3952,35963,greater_7,4,none,4,savings_insurance,36,none,own,385,skilled,No Risk
16,car_used,2122,39081,1_to_4,2,none,3,car_other,32,none,own,258,skilled,No Risk
4,car_new,250,34021,unemployed,1,none,1,real_estate,19,none,rent,303,skilled,No Risk
29,appliances,5220,25935,greater_7,4,co-applicant,3,car_other,52,none,free,522,skilled,Risk
13,furniture,1276,23101,1_to_4,3,none,1,real_estate,23,none,own,389,skilled,No Risk
14,furniture,1074,23896,4_to_7,3,none,2,savings_insurance,35,none,rent,614,skilled,No Risk
4,radio_tv,250,38924,unemployed,2,none,1,real_estate,19,none,rent,518,skilled,No Risk
16,vacation,2691,27128,1_to_4,3,none,2,car_other,36,none,free,426,skilled,No Risk
10,furniture,1668,24976,less_1,2,none,2,real_estate,20,none,own,690,skilled,No Risk
29,radio_tv,5536,24791,4_to_7,3,none,3,unknown,52,stores,own,610,skilled,No Risk
20,car_used,3713,20064,less_1,3,none,2,real_estate,29,none,rent,554,skilled,No Risk
32,repairs,6331,22505,greater_7,5,co-applicant,4,car_other,48,none,free,449,management_self-employed,Risk
7,vacation,250,30719,4_to_7,3,none,3,real_estate,19,none,own,563,skilled,No Risk
33,business,2398,35706,less_1,3,none,3,savings_insurance,22,none,own,687,skilled,No Risk
37,other,5843,38353,greater_7,5,none,3,savings_insurance,49,none,own,431,skilled,Risk
14,furniture,250,33526,less_1,2,none,1,real_estate,30,none,own,444,skilled,No Risk
25,radio_tv,7587,22781,1_to_4,4,none,4,car_other,38,none,own,634,management_self-employed,No Risk
13,radio_tv,2453,22757,4_to_7,3,none,2,car_other,39,none,own,636,skilled,No Risk
4,car_used,357,38010,less_1,2,none,2,savings_insurance,34,bank,rent,212,unskilled,No Risk
18,retraining,7506,35524,1_to_4,3,none,3,unknown,46,none,free,617,skilled,Risk
14,furniture,1697,25999,1_to_4,3,none,3,car_other,19,none,own,639,skilled,No Risk
14,car_new,1939,33668,1_to_4,2,co-applicant,4,car_other,36,none,free,651,skilled,Risk
4,car_new,2783,29397,less_1,2,none,1,savings_insurance,31,none,own,613,skilled,No Risk
35,appliances,6996,21675,greater_7,5,co-applicant,4,unknown,52,stores,own,677,unskilled,Risk
23,furniture,3786,39385,4_to_7,4,guarantor,5,car_other,38,none,own,468,skilled,No Risk
23,retraining,2964,20749,less_1,2,none,3,real_estate,32,none,own,510,skilled,No Risk
12,furniture,250,23683,unemployed,2,none,2,savings_insurance,27,bank,rent,487,unemployed,No Risk
25,education,5614,38950,1_to_4,4,none,3,car_other,45,none,own,244,management_self-employed,No Risk
4,vacation,2064,37299,1_to_4,2,none,1,savings_insurance,19,bank,rent,608,unskilled,No Risk
35,furniture,5222,21204,greater_7,4,guarantor,3,savings_insurance,53,none,free,353,skilled,No Risk
25,car_used,2056,27594,4_to_7,3,none,4,real_estate,30,stores,own,405,skilled,No Risk
14,car_used,250,37697,1_to_4,1,none,2,car_other,33,stores,rent,327,unskilled,No Risk
8,vacation,4448,24234,4_to_7,2,none,3,car_other,40,none,own,658,management_self-employed,Risk
24,radio_tv,3091,36324,less_1,2,none,3,savings_insurance,37,bank,rent,647,unskilled,No Risk
11,vacation,3605,24440,1_to_4,3,none,2,savings_insurance,19,none,rent,575,skilled,No Risk
14,car_new,2609,24783,4_to_7,4,none,2,savings_insurance,33,bank,rent,366,unskilled,No Risk
8,furniture,463,23657,4_to_7,3,none,4,savings_insurance,42,none,own,566,skilled,No Risk
35,car_used,5208,21400,4_to_7,3,none,2,savings_insurance,31,none,own,695,skilled,No Risk
16,furniture,1524,32639,less_1,1,none,1,savings_insurance,36,stores,own,445,skilled,No Risk
22,radio_tv,2783,37578,less_1,3,none,2,savings_insurance,28,none,own,370,skilled,No Risk
16,repairs,6907,36940,less_1,4,none,3,car_other,34,none,own,211,management_self-employed,No Risk
16,car_new,250,27317,less_1,1,none,1,savings_insurance,20,none,rent,359,skilled,No Risk
15,furniture,250,32984,4_to_7,2,none,1,savings_insurance,27,stores,own,495,skilled,No Risk
41,retraining,6674,24844,4_to_7,5,none,5,savings_insurance,44,stores,free,605,unskilled,Risk
26,radio_tv,250,22363,4_to_7,2,none,2,real_estate,22,stores,own,656,skilled,No Risk
16,car_new,1149,24800,1_to_4,3,none,2,savings_insurance,45,none,own,600,skilled,Risk
25,repairs,4183,36616,1_to_4,4,none,2,car_other,24,none,own,629,skilled,No Risk
40,retraining,7846,25607,greater_7,4,guarantor,4,unknown,56,none,free,307,skilled,Risk
13,furniture,778,22058,4_to_7,2,none,2,savings_insurance,22,none,rent,522,skilled,No Risk
50,appliances,7443,37471,greater_7,4,co-applicant,4,unknown,56,bank,own,570,unemployed,Risk
25,furniture,1244,37743,1_to_4,2,none,3,savings_insurance,40,stores,free,406,skilled,No Risk
25,radio_tv,2429,33556,1_to_4,3,none,3,savings_insurance,29,none,own,648,skilled,No Risk
4,car_new,250,21599,unemployed,1,none,2,real_estate,19,none,rent,441,skilled,No Risk
25,furniture,5371,27678,greater_7,4,none,4,unknown,45,none,free,498,skilled,Risk
31,appliances,3453,22532,less_1,3,co-applicant,3,savings_insurance,27,none,own,580,skilled,Risk
35,repairs,5601,29993,4_to_7,4,none,5,car_other,42,none,rent,255,skilled,No Risk
4,car_new,250,35401,1_to_4,2,none,2,real_estate,29,none,own,561,skilled,No Risk
19,retraining,5368,34524,4_to_7,3,none,1,unknown,42,none,own,478,skilled,No Risk
4,car_new,250,25532,unemployed,1,none,2,real_estate,19,none,rent,248,skilled,No Risk
48,other,7083,35483,greater_7,5,co-applicant,4,unknown,53,none,free,333,skilled,Risk
18,car_new,250,25138,unemployed,2,none,2,real_estate,24,none,own,608,skilled,No Risk
25,furniture,6221,25595,4_to_7,4,co-applicant,5,car_other,54,none,free,248,management_self-employed,Risk
13,car_new,2719,38674,1_to_4,3,none,2,savings_insurance,38,none,own,603,skilled,No Risk
17,car_new,4188,30581,greater_7,4,none,3,unknown,43,none,own,296,skilled,No Risk
5,car_new,4855,28499,unemployed,1,none,3,car_other,25,none,own,651,skilled,No Risk
21,retraining,5308,21627,greater_7,3,none,3,unknown,40,none,own,655,skilled,No Risk
6,car_new,3452,20187,4_to_7,3,co-applicant,4,car_other,48,none,own,264,skilled,Risk
29,radio_tv,10213,33458,less_1,3,none,4,car_other,38,none,own,468,management_self-employed,No Risk
26,furniture,3416,30154,1_to_4,3,none,1,savings_insurance,19,stores,own,416,unskilled,No Risk
13,radio_tv,3910,33152,less_1,3,none,3,car_other,36,stores,own,424,unskilled,No Risk
4,car_new,250,33831,1_to_4,2,none,2,real_estate,22,none,own,545,skilled,No Risk
46,other,8464,36429,4_to_7,5,none,4,car_other,47,none,free,561,management_self-employed,Risk
8,vacation,2674,27828,less_1,3,none,2,savings_insurance,21,none,own,342,management_self-employed,No Risk
27,appliances,5893,39961,greater_7,5,none,4,car_other,46,none,free,335,skilled,No Risk
24,radio_tv,5600,39830,less_1,4,none,3,car_other,38,stores,own,562,unskilled,No Risk
21,car_new,2442,33941,4_to_7,3,none,4,real_estate,47,none,own,628,management_self-employed,No Risk
11,furniture,2187,29573,1_to_4,3,none,2,real_estate,33,none,own,304,skilled,No Risk
36,appliances,5495,27950,greater_7,5,none,3,unknown,49,none,own,212,skilled,Risk
8,radio_tv,2254,34737,greater_7,4,none,4,savings_insurance,43,none,own,631,management_self-employed,Risk
8,furniture,1832,38647,4_to_7,3,none,3,real_estate,31,none,rent,261,skilled,No Risk
27,radio_tv,2996,22047,4_to_7,4,none,3,savings_insurance,36,none,own,603,skilled,No Risk
15,furniture,3322,37037,4_to_7,3,none,2,car_other,34,none,own,688,skilled,No Risk
9,car_new,1884,34140,less_1,2,none,3,savings_insurance,27,stores,own,371,unskilled,No Risk
10,car_new,250,26587,less_1,1,none,2,real_estate,19,none,rent,640,skilled,No Risk
33,furniture,1231,28933,1_to_4,3,none,2,savings_insurance,41,none,own,667,skilled,No Risk
25,business,6453,31007,greater_7,4,none,3,car_other,48,none,own,527,skilled,Risk
27,furniture,7158,37584,greater_7,5,none,3,car_other,37,stores,own,552,unskilled,No Risk
31,furniture,5702,26477,greater_7,3,none,4,unknown,47,none,own,610,skilled,Risk
14,car_new,2886,34453,unemployed,1,none,1,savings_insurance,29,stores,own,406,skilled,No Risk
15,furniture,2746,34295,greater_7,3,none,1,car_other,41,stores,own,607,skilled,No Risk
9,radio_tv,3533,21682,greater_7,3,none,4,car_other,38,none,own,483,skilled,No Risk
17,furniture,2292,30703,1_to_4,3,none,3,car_other,36,none,own,565,management_self-employed,Risk
4,car_new,250,34489,less_1,2,none,3,real_estate,26,bank,rent,454,unskilled,No Risk
16,radio_tv,2208,27181,greater_7,4,none,3,car_other,43,none,free,342,skilled,No Risk
4,car_new,250,21221,less_1,1,none,2,savings_insurance,21,none,rent,209,skilled,No Risk
15,car_new,3012,30347,1_to_4,2,none,1,real_estate,27,none,own,455,skilled,No Risk
8,furniture,1073,24878,4_to_7,3,none,3,car_other,46,none,own,374,skilled,No Risk
27,appliances,4164,35917,4_to_7,3,none,4,savings_insurance,54,none,own,637,skilled,No Risk
29,repairs,4794,21568,4_to_7,4,none,3,unknown,30,none,own,411,skilled,No Risk
14,vacation,2511,37679,1_to_4,2,none,1,real_estate,29,none,own,299,skilled,No Risk
20,radio_tv,3424,30587,1_to_4,2,none,3,unknown,27,none,own,490,skilled,No Risk
44,appliances,7532,21135,greater_7,4,co-applicant,3,unknown,47,none,own,312,skilled,Risk
41,appliances,2901,33289,4_to_7,4,none,3,savings_insurance,36,none,own,340,skilled,No Risk
36,repairs,5673,32537,greater_7,5,none,4,unknown,48,none,own,496,skilled,Risk
17,car_new,250,24067,less_1,1,co-applicant,2,real_estate,40,none,own,548,skilled,No Risk
14,car_used,1543,20758,less_1,2,none,2,real_estate,21,none,rent,369,skilled,No Risk
4,car_used,1008,25653,unemployed,2,none,3,real_estate,19,none,rent,387,management_self-employed,No Risk
11,furniture,1546,22122,4_to_7,3,none,3,savings_insurance,28,none,own,429,skilled,Risk
10,car_used,5056,37304,4_to_7,3,none,3,savings_insurance,47,none,own,592,skilled,Risk
28,car_used,4926,34988,1_to_4,3,none,3,savings_insurance,38,none,own,547,skilled,Risk
44,appliances,5045,25532,greater_7,4,guarantor,4,unknown,36,stores,free,333,unskilled,No Risk
26,education,5740,32459,4_to_7,4,none,4,car_other,43,none,own,208,management_self-employed,Risk
36,other,3114,25063,4_to_7,3,none,4,savings_insurance,27,bank,own,288,unemployed,No Risk
26,car_used,3243,25943,1_to_4,3,none,3,car_other,36,none,own,222,skilled,Risk
8,car_used,250,21906,unemployed,1,none,2,real_estate,20,bank,rent,638,unemployed,No Risk
15,vacation,5913,29485,1_to_4,4,none,2,unknown,40,none,own,526,management_self-employed,Risk
29,appliances,6238,23923,4_to_7,3,none,3,car_other,41,none,own,508,skilled,Risk
11,car_new,250,33328,unemployed,1,none,1,real_estate,26,bank,rent,324,unskilled,No Risk
16,appliances,250,26477,4_to_7,1,none,2,savings_insurance,22,stores,own,657,unskilled,Risk
13,car_new,393,33985,4_to_7,3,none,2,real_estate,28,none,own,425,skilled,No Risk
7,car_used,250,26049,less_1,2,none,1,real_estate,19,stores,own,477,skilled,No Risk
29,car_used,8862,25400,greater_7,5,co-applicant,5,unknown,53,none,free,649,skilled,Risk
12,furniture,250,34286,1_to_4,1,none,1,real_estate,25,stores,rent,549,skilled,No Risk
16,furniture,3881,38782,less_1,2,co-applicant,3,savings_insurance,43,none,own,486,skilled,Risk
4,car_used,250,26603,1_to_4,2,none,1,savings_insurance,22,none,rent,310,skilled,No Risk
10,car_used,652,29097,4_to_7,2,none,1,savings_insurance,33,stores,own,692,skilled,No Risk
32,car_used,2703,23602,4_to_7,4,none,4,car_other,31,bank,own,397,unemployed,No Risk
13,car_used,1820,31252,unemployed,2,none,3,car_other,28,none,rent,464,skilled,No Risk
25,radio_tv,1668,26663,4_to_7,3,none,4,savings_insurance,49,none,free,210,skilled,Risk
40,appliances,7301,23990,greater_7,5,co-applicant,4,savings_insurance,48,none,free,326,skilled,Risk
41,repairs,3423,26709,greater_7,5,none,5,savings_insurance,56,none,free,425,skilled,Risk
30,appliances,6703,20556,greater_7,4,none,3,car_other,54,none,own,621,skilled,No Risk
22,repairs,812,27527,4_to_7,3,none,2,savings_insurance,19,bank,rent,516,unemployed,No Risk
13,furniture,2735,20074,4_to_7,2,none,3,savings_insurance,45,stores,rent,223,skilled,Risk
28,radio_tv,530,28660,1_to_4,2,none,2,real_estate,32,stores,own,578,skilled,No Risk
17,retraining,2119,34509,1_to_4,3,none,2,savings_insurance,23,bank,rent,243,unskilled,No Risk
26,furniture,3573,26052,greater_7,5,none,5,car_other,39,none,own,653,skilled,Risk
25,education,6921,25458,greater_7,4,none,3,unknown,50,none,own,482,skilled,Risk
4,car_new,1652,38276,1_to_4,3,none,3,savings_insurance,28,none,rent,695,skilled,No Risk
23,furniture,3379,23826,greater_7,4,none,2,car_other,42,none,own,542,skilled,No Risk
17,car_new,2720,23479,1_to_4,3,none,4,savings_insurance,34,none,rent,436,management_self-employed,No Risk
20,retraining,2305,37691,greater_7,4,none,3,car_other,45,none,own,304,skilled,Risk
14,repairs,250,23111,unemployed,1,none,1,real_estate,19,bank,rent,571,unemployed,No Risk
24,furniture,3428,33248,4_to_7,4,none,4,savings_insurance,38,none,own,367,skilled,No Risk
4,car_new,250,33714,less_1,2,none,2,savings_insurance,23,none,own,399,skilled,No Risk
40,vacation,5585,23744,4_to_7,5,none,4,car_other,42,none,own,556,skilled,No Risk
17,car_new,3366,34528,1_to_4,2,none,2,car_other,31,stores,own,373,skilled,No Risk
26,car_used,7192,37898,1_to_4,3,none,3,car_other,50,stores,own,645,unskilled,No Risk
27,appliances,6932,37929,4_to_7,5,none,4,car_other,35,none,own,663,management_self-employed,Risk
33,furniture,4603,30968,greater_7,4,none,3,unknown,59,none,own,311,skilled,Risk
19,car_new,1005,28555,1_to_4,2,none,3,real_estate,33,bank,own,412,unskilled,No Risk
15,furniture,3481,39289,1_to_4,2,none,3,car_other,43,none,own,587,skilled,No Risk
21,retraining,4789,22768,greater_7,3,none,4,savings_insurance,43,none,own,443,management_self-employed,Risk
32,vacation,6483,21879,4_to_7,3,none,4,unknown,44,none,own,317,skilled,Risk
22,car_used,250,26050,1_to_4,3,none,3,real_estate,37,none,own,356,skilled,No Risk
9,car_new,438,24985,unemployed,1,co-applicant,2,savings_insurance,30,stores,own,666,unskilled,No Risk
11,furniture,850,24178,less_1,2,none,2,savings_insurance,19,none,rent,324,skilled,No Risk
28,car_used,4649,20337,4_to_7,4,none,3,savings_insurance,44,none,own,371,skilled,Risk
4,car_new,250,38345,1_to_4,1,none,2,real_estate,19,stores,rent,507,unskilled,Risk
30,car_used,5241,32352,1_to_4,2,none,3,savings_insurance,37,none,own,646,skilled,Risk
42,repairs,1420,38986,greater_7,3,none,2,car_other,26,stores,own,695,unskilled,No Risk
21,car_used,3170,38864,greater_7,3,none,2,savings_insurance,41,none,rent,422,skilled,Risk
28,radio_tv,337,36644,less_1,1,none,2,car_other,21,stores,own,637,skilled,No Risk
21,car_new,2638,37153,1_to_4,3,none,3,savings_insurance,27,none,own,256,skilled,Risk
30,radio_tv,9560,28668,4_to_7,3,co-applicant,3,unknown,39,none,free,245,skilled,Risk
18,radio_tv,4560,24801,1_to_4,3,none,2,savings_insurance,32,none,own,671,skilled,No Risk
45,other,6580,37516,4_to_7,4,none,4,car_other,32,none,own,565,skilled,No Risk
20,radio_tv,1023,38441,greater_7,3,none,2,savings_insurance,33,none,rent,295,skilled,No Risk
4,car_new,332,27889,1_to_4,2,none,3,real_estate,19,none,rent,631,management_self-employed,No Risk
13,furniture,690,32669,1_to_4,3,none,3,savings_insurance,27,none,own,213,skilled,No Risk
4,car_new,250,24019,unemployed,1,none,1,real_estate,20,none,rent,390,skilled,No Risk
44,radio_tv,5275,30555,greater_7,5,co-applicant,5,unknown,53,none,free,690,skilled,Risk
48,other,8310,28876,4_to_7,5,co-applicant,4,unknown,36,none,free,245,skilled,Risk
19,retraining,3944,37995,1_to_4,2,none,2,car_other,43,none,own,485,skilled,No Risk
4,education,250,31934,less_1,1,none,2,real_estate,19,none,rent,333,skilled,No Risk
26,retraining,2987,31993,less_1,2,none,2,savings_insurance,39,none,own,201,skilled,No Risk
4,car_new,250,26762,unemployed,1,none,2,real_estate,19,bank,rent,319,unskilled,No Risk
39,repairs,6418,35166,4_to_7,5,none,4,car_other,43,none,free,685,management_self-employed,No Risk
6,car_new,1918,20484,less_1,2,none,1,car_other,19,none,own,370,skilled,Risk
31,business,6811,38088,1_to_4,3,none,4,savings_insurance,56,none,own,291,management_self-employed,No Risk
4,car_new,250,35378,1_to_4,1,none,2,car_other,31,none,own,238,skilled,No Risk
40,vacation,6795,36733,4_to_7,3,co-applicant,2,unknown,40,bank,own,487,unskilled,Risk
33,vacation,1006,30451,4_to_7,4,none,3,car_other,26,none,own,530,skilled,No Risk
